City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
sao geraldo do araguaia,1,BR,1561152882,76,-6.4,-48.55,77.63,1.63
walvis bay,0,NA,1561152882,29,-22.95,14.51,66.2,5.82
vertientes,40,CU,1561152882,66,21.26,-78.15,86,11.41
shangrao,100,CN,1561152882,99,28.45,117.97,75.47,2.28
vao,96,EE,1561152882,79,59.1,26.19,57.83,7.83
villa corzo,75,MX,1561152883,49,16.19,-93.27,93.2,4.7
esso,84,RU,1561152883,84,55.93,158.7,41.81,2.68
santa rosalia,0,IT,1561152698,69,38.07,13.27,82.99,10.29
jawhar,0,IN,1561152883,81,19.91,73.23,80.69,3.56
portland,75,US,1561152431,45,45.52,-122.67,70,3.36
nome,40,US,1561152883,62,30.04,-94.42,91.4,12.75
clinton,90,US,1561152884,82,41.84,-90.19,70,6.93
petatlan,75,MX,1561152630,56,17.52,-101.27,95,8.05
ahipara,100,NZ,1561152884,55,-35.17,173.16,58.91,4.47
hit,0,IQ,1561152884,24,33.64,42.83,85.01,4.59
peniche,20,PT,1561152885,87,39.36,-9.38,63,6.93
mehamn,40,NO,1561152885,75,71.03,27.85,44.6,4.7
wilmington,75,US,1561152824,44,39.75,-75.55,81,14.99
banda aceh,100,ID,1561152644,79,5.56,95.32,83.39,25.41
bosaso,8,SO,1561152885,61,11.28,49.18,90.23,13.51
storvorde,0,DK,1561152826,82,57,10.1,54,1.01
romny,32,UA,1561152886,66,50.74,33.49,68.99,5.95
tuatapere,91,NZ,1561152886,95,-46.13,167.69,43,3.69
parana,40,BR,1561152886,52,-7.52,-72.89,89.6,2.3
hualmay,2,PE,1561152886,85,-11.1,-77.61,63.59,12.55
cotonou,92,BJ,1561152886,84,6.37,2.43,77.81,6.98
trojan,75,US,1561152886,51,44.34,-103.84,68,13.87
fort nelson,75,CA,1561152887,48,58.81,-122.69,64.4,3.36
martapura,24,ID,1561152887,100,-3.41,114.85,73.4,1.12
zhaotong,100,CN,1561152887,97,27.34,103.71,63.41,3.09
isangel,75,VU,1561152887,83,-19.55,169.27,73.4,3.36
donegal,0,IE,1561152887,76,54.65,-8.11,55.4,4.7
abu kamal,0,SY,1561152888,31,34.45,40.92,86.09,9.69
chiredzi,16,ZW,1561152888,89,-21.05,31.67,57.65,3.69
rudnogorsk,0,RU,1561152888,74,57.27,103.75,50.99,1.63
ponta delgada,20,PT,1561152758,93,37.73,-25.67,66.2,13.87
stranda,75,NO,1561152888,93,62.31,6.93,53.6,23.04
shihezi,66,CN,1561152889,32,44.3,86.03,72.23,4.63
cherskiy,0,RU,1561152889,41,68.75,161.3,68.99,5.84
fomboni,0,KM,1561152889,69,-12.28,43.74,77.81,5.59
plasy,40,CZ,1561152889,72,49.93,13.39,68,5.82
najran,0,SA,1561152889,15,17.54,44.22,87.8,2.68
salalah,75,OM,1561152890,89,17.01,54.1,84.2,9.17
tome,75,JP,1561152890,94,38.69,141.2,68,9.17
chinchani,100,IN,1561152890,78,16.42,74.53,75.11,9.42
grindavik,0,IS,1561152890,81,63.84,-22.43,51.8,19.46
nyagan,0,RU,1561152891,81,62.14,65.43,38.39,5.37
okhotsk,100,RU,1561152891,92,59.36,143.24,45.05,1.45
gualaquiza,95,EC,1561152891,94,-3.4,-78.58,49.01,8.1
reims,0,FR,1561152891,76,49.26,4.03,57.2,6.93
atyrau,0,KZ,1561152891,24,47.1,51.92,82.4,13.42
sun valley,90,US,1561152688,40,43.7,-114.35,53.6,5.82
fayetteville,1,US,1561152892,55,36.06,-94.16,93,23.04
taoudenni,0,ML,1561152892,7,22.68,-3.98,95.81,9.22
porto walter,28,BR,1561152892,45,-8.27,-72.74,89.33,1.81
bay roberts,90,CA,1561152892,100,47.58,-53.28,46,10.29
comodoro rivadavia,20,AR,1561152893,55,-45.87,-67.48,60.8,3.36
namatanai,100,PG,1561152893,90,-3.66,152.44,76.73,1.63
birjand,40,IR,1561152893,17,32.86,59.22,77,9.17
mackay,90,CA,1561152893,87,53.65,-115.58,51.8,13.87
basco,1,US,1561152893,88,40.33,-91.2,69.8,14.99
diu,0,IN,1561152894,78,20.71,70.98,82.13,6.64
sambava,99,MG,1561152894,99,-14.27,50.17,67.37,3.29
hofn,29,IS,1561152894,87,64.25,-15.21,38.39,6.91
mosquera,40,CO,1561152894,55,4.71,-74.23,64.4,10.29
yafran,0,LY,1561152894,23,32.06,12.53,86.45,15.05
matelandia,0,BR,1561152895,69,-25.24,-54,77,5.82
nueva loja,100,EC,1561152780,98,0.08,-76.88,70.07,2.66
wanning,100,AT,1561152895,80,48.64,13.53,68,1.99
chernyshevskiy,0,RU,1561152895,61,63.01,112.47,55.31,2.51
kimbe,100,PG,1561152895,85,-5.56,150.15,76.91,2.33
petropavlovsk-kamchatskiy,90,RU,1561152661,100,53.05,158.65,46.4,2.24
betsiamites,75,CA,1561152895,77,48.94,-68.65,60.8,4.7
nioro,0,GM,1561152896,51,13.79,-15.05,83.21,16.35
atambua,100,ID,1561152896,76,-9.11,124.89,76.55,12.62
shitkino,5,RU,1561152896,72,56.37,98.35,53.87,3.65
moba,0,CD,1561152896,72,-7.04,29.77,57.65,3.24
la maddalena,20,IT,1561152896,88,39.15,9.02,75.2,4.7
kem,67,UG,1561152897,93,2.68,33.77,65.75,3.31
ukiah,1,US,1561152638,20,39.15,-123.21,84,4.7
sorland,75,NO,1561152897,87,67.67,12.69,51.8,3.36
augusto correa,100,BR,1561152897,82,-1.02,-46.63,78.89,3.91
nalut,0,LY,1561152897,19,31.86,10.98,90.41,14.52
calatayud,0,ES,1561152715,82,41.35,-1.64,68,5.82
baswa,0,IN,1561152898,44,27.15,76.58,88.79,7.87
yatou,100,CM,1561152898,85,3.63,9.81,79.43,19.62
bodden town,20,KY,1561152898,66,19.28,-81.25,89.6,20.8
el penon,20,MX,1561152898,60,20.26,-97.43,96.8,11.41
arlit,51,NE,1561152898,14,18.74,7.39,101.93,5.28
warrnambool,85,AU,1561152898,94,-38.38,142.48,42.01,13.18
paducah,40,US,1561152899,62,37.08,-88.6,89.6,10.29
porosozero,9,RU,1561152899,89,62.72,32.71,63.77,8.48
tulun,0,RU,1561152899,94,54.56,100.58,51.17,2.01
sulangan,35,PH,1561152899,72,11.14,123.72,83.75,2.8
omsukchan,0,RU,1561152899,57,62.53,155.8,49.01,4.16
kuandian,55,CN,1561152900,89,40.73,124.78,54.05,5.28
maralal,1,KE,1561152900,81,1.1,36.7,63.41,6.38
lugo,10,ES,1561152900,100,43.01,-7.56,60.01,5.99
syracuse,75,US,1561152896,52,43.05,-76.15,73.4,4.7
skjervoy,100,NO,1561152900,93,70.03,20.97,49.55,2.77
kilindoni,0,TZ,1561152901,70,-7.91,39.67,79.25,12.64
tsnori,90,GE,1561152901,60,41.62,45.98,75.2,6.93
belorechensk,20,RU,1561152901,39,44.77,39.87,82.4,11.18
nkayi,0,CG,1561152901,75,-4.18,13.29,73.13,5.59
mount isa,0,AU,1561152901,42,-20.73,139.49,46.4,6.93
lucapa,0,AO,1561152902,36,-8.42,20.74,64.49,3.24
dingle,0,PH,1561152902,86,11,122.67,75.83,1.54
